slug,city,state,tier,population_rank,notes
gold-coast,Gold Coast,QLD,1,1,"Australia's largest marine industry hub; Coomera, Hope Island, Sanctuary Cove, Runaway Bay. Superyacht and production boatbuilding."
sydney,Sydney,NSW,1,2,"Largest recreational fleet; Pittwater, Middle Harbour, Rozelle Bay, Botany. Dense mooring and marina berths."
brisbane,Brisbane,QLD,1,3,"Moreton Bay; Manly, Scarborough, Rivergate, Newstead. Strong refit and repower trade."
sunshine-coast,Sunshine Coast,QLD,1,4,"Mooloolaba and Noosa; game fishing fleet and charter operators."
melbourne,Melbourne,VIC,1,5,"Port Phillip; Williamstown, Sandringham, St Kilda, Hastings. Cold water, long winter layup season."
perth,Perth,WA,1,6,"Fremantle, Hillarys, Mandurah. Indian Ocean exposure and a large trailer-boat and cruiser fleet."
whitsundays,Whitsundays,QLD,1,7,"Airlie Beach and Abell Point; bareboat charter fleet — high-hour commercial survey vessels."
cairns,Cairns,QLD,1,8,"Marlin fleet, dive and reef charter operators, commercial survey work."
port-stephens,Port Stephens & Newcastle,NSW,1,9,"Nelson Bay and Newcastle; charter, fishing fleet and cruising base."
adelaide,Adelaide,SA,1,10,"Outer Harbor, North Haven, Wirrina. Gateway to Spencer Gulf commercial fishing."
hobart,Hobart,TAS,2,11,"Tier 2; cold water cruising, Derwent, commercial fishing"
gladstone,Gladstone,QLD,2,12,"Tier 2; industrial port and commercial workboat fleet"
hervey-bay,Hervey Bay & Bundaberg,QLD,2,13,"Tier 2; whale watching charter, cruising stopover"
townsville,Townsville,QLD,2,14,"Tier 2; commercial and reef charter"
mackay,Mackay,QLD,2,15,"Tier 2; commercial fishing and workboats"
darwin,Darwin,NT,2,16,"Tier 2; commercial fishing, patrol and charter; extreme heat"
wollongong,Wollongong & Shellharbour,NSW,2,17,"Tier 2; Illawarra fishing and recreational fleet"
coffs-harbour,Coffs Harbour,NSW,2,18,"Tier 2; fishing fleet and cruising stopover"
port-macquarie,Port Macquarie,NSW,2,19,"Tier 2; recreational and charter"
batemans-bay,Batemans Bay & Ulladulla,NSW,2,20,"Tier 2; South Coast fishing fleet"
geelong,Geelong,VIC,2,21,"Tier 2; Corio Bay, western Port Phillip"
gippsland-lakes,Gippsland Lakes,VIC,2,22,"Tier 2; Paynesville and Lakes Entrance, inland waterway cruising"
bunbury,Bunbury & Busselton,WA,2,23,"Tier 2; South West WA fishing and recreational"
broome,Broome,WA,2,24,"Tier 2; Kimberley charter and pearling fleet"
port-lincoln,Port Lincoln,SA,2,25,"Tier 2; major commercial fishing and aquaculture fleet"
