brand_slug,brand,segment,au_relevance,notable_engine_families,notes
volvo-penta,Volvo Penta,inboard-sterndrive,5,"D1; D2; D3; D4; D6; D8; D11; D13","Dominant AU marine diesel brand; IPS, sterndrive and shaft"
yanmar,Yanmar,inboard-sailboat,5,"1GM10; 2YM; 3YM; 3JH; 4JH; 4LV; 6LY","Sailboat auxiliary standard plus planing craft"
mercruiser,Mercruiser & Mercury Diesel,sterndrive,5,"TDI 3.0; 4.2; 3.6 QSD","Sterndrive packages; VM Motori and FPT derived"
cummins-marine,Cummins Marine,commercial-planing,5,"QSB 6.7; QSC 8.3; QSL 9; QSM 11; 6BTA 5.9","Charter, workboat and large planing craft"
caterpillar-marine,Caterpillar Marine,commercial,5,"C7; C9; C12; C18; C32; 3208","Commercial vessels and large motor yachts"
john-deere-marine,John Deere Marine,commercial,4,"PowerTech 4045; 6068; 6090","Workboats, ferries and repower favourite"
yanmar-saildrive,Yanmar & Volvo Saildrives,saildrive,4,"SD20; SD25; SD60; 130S","Saildrive legs — their own maintenance regime"
perkins-sabre,Perkins & Sabre Marine,inboard,4,"M92B; M135; 4.108; Sabre 4","Long-serving in older Australian boats"
nanni,Nanni Diesel,inboard-sailboat,4,"N2.10; N3.21; N4.38; T4.155","Kubota-based sailboat and light commercial"
beta-marine,Beta Marine,inboard-sailboat,4,"Beta 14; 25; 35; 43; 60","Kubota-based; popular repower for yachts"
vetus,Vetus,inboard-sailboat,3,"M2.06; M3.29; M4.55; VF4","Compact auxiliaries"
isuzu-marine,Isuzu Marine,inboard,3,"4JB1; 4LE2; 6BG1","Common in workboats and older craft"
iveco-fpt-marine,Iveco / FPT Marine,inboard,3,"NEF N40; N60; Cursor","Sterndrive and shaft installations"
scania-marine,Scania Marine,commercial,3,"DI13; DI16","Ferries, patrol and large commercial"
man-marine,MAN Marine,performance-commercial,3,"i6; V8; V12","Large motor yachts and fast ferries"
doosan-marine,Doosan Marine,commercial,3,"L126; V158; 4V222","Workboats and gensets"
hyundai-seasall,Hyundai SeasAll,inboard,2,"S270; R200; L500","Growing presence in AU"
steyr-motors,Steyr Motors,inboard-sailboat,2,"SE126; MO54; MO94","Compact high-output auxiliaries"
bukh,Bukh,sailboat-lifeboat,2,"DV10; DV20; DV24","Lifeboat and yacht auxiliary"
sole-diesel,Solé Diesel,inboard-sailboat,2,"Mini 17; 29; 44; SDZ","Mini-series yacht auxiliaries"
lombardini-kohler,Lombardini / Kohler Marine,sailboat,2,"LDW 502M; 1003M; 1404M","Small auxiliaries"
craftsman-marine,Craftsman Marine,sailboat,2,"CM2.16; CM3.27; CM4.42","Kubota-based auxiliaries"
lugger-northern-lights,Lugger & Northern Lights,commercial-genset,3,"L668; L1064; M773","Trawler propulsion and marine gensets"
deutz-marine,Deutz Marine,commercial,2,"TCD 2.9; BF4M; TCD 3.6","Workboats and gensets"
mtu-detroit,MTU & Detroit Diesel,large-commercial,3,"Series 60; 2000; 4000; 8V92","Large yachts, ferries and patrol vessels"
kubota-marine,Kubota Marine Base Engines,base-engine,4,"V1305; V2203; D1105; V3300","The base engine under Beta, Nanni, Craftsman and Solé"
zf-marine,ZF Marine Gearboxes,transmission,5,"ZF 25; ZF 45; ZF 63; ZF 220; ZF 280","Not an engine — the most common AU marine gearbox"
twin-disc,Twin Disc Gearboxes,transmission,4,"MG-5050; MG-5075; MG-5091; QuickShift","Commercial and large pleasure craft"
hurth,Hurth Gearboxes,transmission,3,"HBW 50; HBW 100; HBW 150","Legacy small-craft gearboxes, now ZF"
marine-gensets,Marine Generator Sets,genset,4,"Onan; Northern Lights; Fischer Panda; Kohler","Auxiliary power — its own failure profile"
