slug,service,intent,cluster,commercial_value,notes
marine-diesel-mechanic,Marine Diesel Mechanic,transactional,core,5,"Head term for every location page"
marine-engine-service,Marine Engine Servicing,transactional,core,5,"Recurring demand; the entry job for most owners"
marine-engine-repair,Marine Engine Repair,transactional,core,5,"Broad repair term"
marine-engine-survey,Marine Engine Survey & Pre-Purchase Inspection,transactional,inspection,5,"High intent; buyers searching before purchase"
sea-trial,Sea Trial & Engine Performance Testing,transactional,inspection,3,"Pairs with survey"
marine-engine-oil-analysis,Marine Engine Oil Analysis,transactional,inspection,3,"Predictive maintenance; commercial operators"
impeller-replacement,Raw Water Pump & Impeller Replacement,transactional,cooling,5,"Highest-volume marine-specific repair in Australia"
heat-exchanger-service,Heat Exchanger Service & Descaling,transactional,cooling,5,"Core raw-water cooling maintenance"
exhaust-elbow-replacement,Exhaust Elbow & Riser Replacement,transactional,cooling,5,"Corrosion item; blockage can hydrolock an engine"
aftercooler-service,Aftercooler & Charge Air Cooler Service,transactional,cooling,4,"Turbocharged marine engines; seawater side corrodes"
raw-water-system-repair,Raw Water System Repair,transactional,cooling,4,"Strainers, hoses, seacocks, pumps"
marine-cooling-system-repair,Marine Cooling System Repair,transactional,cooling,4,"Freshwater/closed circuit side"
anode-replacement,Sacrificial Anode Inspection & Replacement,transactional,corrosion,4,"Routine, and neglected until it costs a heat exchanger"
marine-corrosion-repair,Marine Engine Corrosion Repair,transactional,corrosion,3,"Galvanic and salt attack"
marine-injector-service,Marine Injector Testing & Replacement,transactional,fuel-system,5,"Bench calibration by injection specialists"
marine-fuel-pump-repair,Marine Fuel Pump Repair,transactional,fuel-system,4,"High pressure and mechanical pumps"
fuel-polishing,Fuel Polishing & Tank Cleaning,transactional,fuel-system,5,"Marine-specific; stored fuel and diesel bug"
diesel-bug-treatment,Diesel Bug Treatment & Removal,transactional,fuel-system,5,"Very high search volume in marine"
marine-fuel-filter-service,Fuel Filter & Water Separator Service,transactional,fuel-system,3,"Routine but decisive"
marine-turbo-repair,Marine Turbocharger Repair & Replacement,transactional,forced-induction,4,"Salt air and seawater aftercooler interaction"
marine-cylinder-head-repair,Marine Cylinder Head Repair,transactional,engine-internals,4,"Saltwater corrosion of the head and gasket face"
marine-head-gasket-replacement,Marine Head Gasket Replacement,transactional,engine-internals,4,"Often follows an overheat or water ingress"
marine-engine-rebuild,Marine Engine Rebuild,transactional,engine-internals,5,"High ticket; strong referral value"
marine-engine-reconditioning,Marine Engine Reconditioning,transactional,engine-internals,4,"Exchange and remanufactured units"
marine-engine-repower,Marine Engine Repower & Replacement,transactional,engine-internals,5,"The biggest decision a boat owner makes"
saltwater-damage-repair,Saltwater Ingress & Hydrolock Repair,transactional,engine-internals,4,"Water in cylinders via the exhaust; time-critical"
marine-gearbox-service,Marine Gearbox & Transmission Service,transactional,driveline,5,"ZF, Twin Disc, Hurth; a distinct specialisation"
sterndrive-service,Sterndrive & Outdrive Service,transactional,driveline,5,"Bellows, gimbal, u-joints; high failure rate"
shaft-seal-stern-gland,Shaft Seal & Stern Gland Service,transactional,driveline,4,"Traditional packing and dripless seals"
engine-alignment,Engine Alignment & Coupling,transactional,driveline,3,"Vibration and shaft wear"
propeller-shaft-service,Propeller Shaft & Cutless Bearing Service,transactional,driveline,3,"Slipway work"
marine-engine-electrical,Marine Engine Electrical & Charging,transactional,electrical,4,"Alternators, starters, corroded connections"
engine-alarms-instruments,Engine Alarms & Instrumentation,transactional,electrical,3,"The buzzer people ignore"
winterisation-layup,Winterisation & Seasonal Layup,transactional,seasonal,4,"Southern states; and any boat left standing"
recommissioning-service,Recommissioning After Layup,transactional,seasonal,4,"Where most season-opening failures are found"
mobile-marine-mechanic,Mobile Marine Mechanic,transactional,delivery-mode,5,"Dock and mooring visits; strong modifier"
emergency-marine-breakdown,Emergency & On-Water Breakdown Repair,transactional,delivery-mode,4,"Time critical"
slipway-haul-out,Slipway & Haul-Out Engine Work,transactional,delivery-mode,3,"Anything below the waterline"
commercial-vessel-servicing,Commercial Vessel Engine Servicing,transactional,vessel-class,5,"Survey obligations and downtime economics"
charter-fleet-servicing,Charter Fleet Engine Servicing,transactional,vessel-class,4,"High-hour engines; Whitsundays and Cairns"
yacht-auxiliary-service,Yacht Auxiliary Engine Service,transactional,vessel-class,4,"Saildrives and small auxiliaries; low hours, high neglect"
workboat-ferry-servicing,Workboat & Ferry Engine Servicing,transactional,vessel-class,3,"Commercial operators"
